signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-06-11,LUV,monitor,breakout_retest,44.29,42.3899,41.9597,42.8201,40.83,44.41,40.83,1.7208,41.1575,39.8961,2,3,44.44,40.815,44.44,55.11,0.0,92.7,100.0,96.4,70.0,100.0,97.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,SKM,primary,higher_low,37.92,35.67,35.0427,36.2973,36.84,38.4,36.05,2.5092,37.1657,29.7028,1,2,47.1794,35.67,47.1794,47.1794,0.336,88.9,75.0,91.2,95.2,100.0,97.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,MYRG,primary,higher_low,425.08,422.578,416.596,428.56,417.13,427.26,412.46,23.9281,401.1408,298.6811,3,3,484.71,422.578,484.71,484.71,0.316,88.6,100.0,67.7,93.7,100.0,86.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,LC,monitor,breakout_retest,18.24,17.485,17.2795,17.6905,17.34,18.24,17.08,0.8218,16.5973,16.3015,2,2,18.4,16.275,18.4,21.67,0.224,87.4,100.0,91.7,86.8,31.0,93.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,TILE,monitor,breakout_retest,31.32,30.05,29.7882,30.3118,30.48,31.36,30.28,1.0473,28.8205,27.6708,1,3,30.05,28.17,31.61,35.11,0.185,85.7,100.0,99.1,83.9,16.8,83.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,NWG,monitor,breakout_retest,16.23,15.95,15.8448,16.0552,15.75,16.245,15.6,0.4206,15.8204,15.6632,1,2,16.2466,14.91,16.325,19.355,0.233,81.5,75.0,85.4,87.5,60.3,93.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,LYG,monitor,breakout_retest,5.42,5.19,5.1533,5.2267,5.24,5.42,5.19,0.1467,5.3469,5.1307,2,1,5.5399,5.03,5.5399,6.34,0.217,79.6,75.0,100.0,86.3,100.0,32.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,BBVA,monitor,breakout_retest,23.15,22.52,22.3685,22.6715,22.15,23.18,22.1,0.606,22.4399,21.2822,2,3,23.665,21.51,23.665,26.2,0.046,77.0,100.0,94.7,73.5,37.5,32.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,LTM,monitor,breakout_retest,51.47,50.46,49.9053,51.0147,47.28,51.62,47.28,2.2189,50.4095,50.3114,2,1,54.105,46.03,54.105,70.42,0.0,69.6,75.0,80.1,70.0,39.8,60.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,BCH,monitor,breakout_retest,39.78,39.135,38.8415,39.4285,38.93,40.0,38.71,1.174,37.8549,36.7246,1,1,39.135,33.6,40.0,46.77,0.171,67.3,50.0,82.5,82.8,14.3,91.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-06-11,PCG,monitor,breakout_retest,16.79,16.75,16.6445,16.8555,16.76,16.93,16.67,0.422,16.7467,16.254,1,1,17.25,16.095,17.25,19.155,0.346,66.6,50.0,67.2,96.0,100.0,37.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
