signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-09-04,VLY,monitor,breakout_retest,14.025,13.8,13.7256,13.8744,13.83,14.06,13.83,0.2976,14.2484,13.2794,2,2,15.15,14.01,15.15,15.2,0.0,85.0,100.0,87.7,70.0,82.5,72.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,TAL,monitor,breakout_retest,12.4,12.325,12.2238,12.4262,12.1,12.49,12.02,0.4047,11.3473,10.9459,2,2,12.325,11.17,12.58,13.37,0.17,81.4,100.0,71.8,82.8,62.0,71.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,DK,monitor,breakout_retest,71.86,68.7799,67.7707,69.7891,71.5,73.04,69.755,4.0369,63.4264,49.305,2,1,72.0,56.34,77.4,77.4,0.531,81.1,75.0,87.8,80.0,100.0,70.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-09-04,DAN,monitor,breakout_retest,32.04,31.93,31.6614,32.1986,31.4,32.3,31.4,1.0745,29.8234,28.9995,2,2,31.93,26.085,32.3,39.56,0.0,79.9,100.0,67.6,70.0,44.8,96.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,MU,monitor,breakout_retest,1016.59,1011.77,998.0599,1025.4801,971.335,1017.77,969.0,54.8403,921.1874,675.5183,2,1,1036.13,887.605,1036.13,1255.0,0.048,78.5,75.0,66.9,73.6,100.0,96.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,SNDK,monitor,breakout_retest,1740.0,1696.37,1663.8947,1728.8453,1586.0,1740.0,1581.0,129.9014,1522.9319,1119.6717,2,1,1827.99,1416.56,1827.99,2354.3899,0.031,75.3,75.0,77.1,72.3,100.0,60.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,INTC,monitor,breakout_retest,95.8,93.7,92.4212,94.9788,92.45,95.94,91.87,5.1154,97.5885,80.7215,1,1,93.7,85.14,107.57,142.35,0.143,73.4,50.0,79.0,80.7,100.0,83.4,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,AGRO,monitor,breakout_retest,11.77,11.5452,11.4171,11.6733,11.49,11.93,11.4,0.5126,10.6389,10.3982,2,2,11.5452,10.61,12.08,15.89,0.17,72.9,100.0,79.7,82.8,10.1,36.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,GRDN,monitor,breakout_retest,40.77,39.62,39.2183,40.0217,40.13,40.95,39.98,1.6069,39.2389,36.0041,2,1,47.02,37.03,44.13,47.02,0.155,72.9,75.0,86.6,81.6,15.0,73.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-09-04,NWG,monitor,breakout_retest,18.94,18.9,18.8243,18.9757,18.86,19.0,18.855,0.3027,18.2342,16.9071,2,2,18.9,18.16,19.41,19.42,0.034,67.8,100.0,69.1,52.5,47.6,34.8,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body
2026-09-04,GPRE,monitor,breakout_retest,15.45,15.38,15.1727,15.5873,14.97,15.48,14.8,0.8293,15.6697,14.6556,1,1,16.58,13.425,16.58,19.645,0.25,62.3,50.0,66.7,88.8,24.4,69.3,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
