signal_date,ticker,support_category,support_type,last_close,support_price,zone_low,zone_high,last_open,last_high,last_low,atr14,ema50,ema200,hh_count,hl_count,last_ph_price,last_pl_price,recent_high_20,recent_high_252,lower_tail_ratio,score,score_trend,score_support_quality,score_reaction,score_liquidity,score_room,reasons
2026-05-21,DAVE,monitor,breakout_retest,240.9,227.69,223.7823,231.5977,240.32,244.78,228.3525,15.6308,232.4878,216.9022,2,2,285.39,225.0001,285.39,287.69,0.729,92.4,100.0,89.9,80.0,100.0,92.7,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-05-21,AIR,primary,higher_low,108.44,104.86,103.646,106.074,105.9,109.5,105.0,4.8559,110.8408,97.8625,2,3,121.59,104.86,121.59,127.21,0.2,85.7,100.0,87.2,85.0,43.8,83.2,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,HASI,primary,higher_low,40.66,40.0242,39.7303,40.3181,40.07,40.799,39.73,1.1755,39.6233,34.7731,2,3,44.13,40.0242,44.13,44.13,0.318,84.9,100.0,82.3,93.8,44.3,74.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,ANIP,monitor,breakout_retest,82.77,82.425,81.7052,83.1448,81.54,83.195,80.7261,2.879,79.3427,79.0633,3,2,87.76,76.1201,87.76,99.5,0.33,78.7,100.0,68.5,94.8,30.4,64.1,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,GRDN,monitor,breakout_retest,38.37,38.12,37.7147,38.5253,37.16,38.39,36.1066,1.6213,36.1923,31.351,2,2,39.62,32.25,39.62,41.36,0.461,75.5,100.0,70.2,100.0,15.4,42.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close;strong_lower_tail_rejection
2026-05-21,CFG,monitor,breakout_retest,62.78,62.16,61.7841,62.5359,62.44,62.98,62.05,1.5037,62.4299,57.6792,1,1,66.0,59.745,66.0,68.79,0.419,69.8,50.0,79.1,80.0,100.0,60.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;strong_lower_tail_rejection
2026-05-21,BAP,monitor,breakout_retest,344.0,341.07,337.6688,344.4712,331.42,345.77,328.91,13.6049,328.0389,300.9606,1,1,365.46,314.52,345.77,380.2,0.149,69.3,50.0,73.3,81.2,100.0,65.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,BB,monitor,breakout_retest,6.65,6.61,6.5136,6.7064,6.17,6.73,6.1,0.3857,5.0539,4.3757,2,1,6.61,3.1201,6.73,6.73,0.111,67.8,75.0,67.7,78.3,100.0,18.0,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,PCG,monitor,breakout_retest,16.44,16.38,16.2625,16.4975,16.23,16.53,16.13,0.4699,16.8547,16.2642,1,1,16.915,16.0,17.04,19.155,0.25,65.8,50.0,68.9,88.8,100.0,38.9,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,LTM,monitor,breakout_retest,50.94,50.46,49.8954,51.0246,49.42,51.99,48.4,2.2582,50.4395,49.895,1,1,54.075,45.0861,54.075,70.42,0.284,65.7,50.0,73.1,91.3,44.3,64.6,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
2026-05-21,TILE,monitor,breakout_retest,29.13,28.95,28.668,29.232,28.07,29.43,28.07,1.1279,27.9703,27.2811,2,1,30.34,26.48,30.34,35.11,0.0,63.5,75.0,70.5,70.0,16.4,51.5,price_touched_zone;close_held_above_zone_low;close_recovered_zone_mid;bullish_candle_body;close_above_prev_close
