ticker,last_date,last_close,atr14,ema50,ema200,avg_dollar_volume,trend,hh_count,hl_count,last_ph_price,last_pl_price,support_type,support_category,support_price,zone_low,zone_high,pivot_date
MU,2026-09-09,1027.77,53.7469,928.347,682.7316,26226087079.0,none,2,1,1036.13,887.605,breakout_retest,monitor,1011.77,998.3333,1025.2067,2026-07-23
SNDK,2026-09-09,1764.17,122.5456,1540.4971,1133.9508,21159565094.0,none,2,1,1827.99,1416.56,breakout_retest,monitor,1696.37,1665.7336,1727.0064,2026-07-23
LITE,2026-09-09,988.98,68.9679,857.6556,698.3648,4190796193.0,uptrend,2,1,970.32,784.47,higher_low,primary,784.47,767.228,801.712,2026-08-24
FSLY,2026-09-09,22.71,1.9003,22.5114,19.019,118573053.0,uptrend,1,3,25.36,22.3,higher_low,primary,22.3,21.8249,22.7751,2026-08-20
AUGO,2026-09-09,85.32,4.6468,74.9555,67.0511,78822451.0,uptrend,1,2,90.64,78.59,higher_low,primary,78.59,77.4283,79.7517,2026-09-01
DAR,2026-09-09,67.51,2.7295,62.9945,54.6498,174460841.0,uptrend,2,2,69.9758,58.96,higher_low,primary,58.96,58.2776,59.6424,2026-08-25
DAN,2026-09-09,30.45,1.0711,29.9032,29.072,43140413.0,none,2,3,31.93,29.06,breakout_retest,monitor,28.12,27.8522,28.3878,2026-07-22
PBF,2026-09-09,76.51,3.8604,65.2782,48.714,184438144.0,uptrend,3,3,75.68,63.95,higher_low,primary,63.95,62.9849,64.9151,2026-08-26
SKM,2026-09-09,37.32,1.3165,36.4239,32.1661,72907968.0,none,1,1,41.01,32.8401,breakout_retest,monitor,35.86,35.5309,36.1891,2026-08-06
PARR,2026-09-09,83.13,4.4464,74.6121,59.8916,67590899.0,uptrend,2,2,83.7199,72.09,higher_low,primary,72.09,70.9784,73.2016,2026-08-20
GPRE,2026-09-09,15.64,0.7992,15.6728,14.7454,23222392.0,none,1,1,16.58,13.425,breakout_retest,monitor,15.38,15.1802,15.5798,2026-06-22
INTC,2026-09-09,106.24,5.3782,98.1872,81.368,9229829571.0,none,1,1,93.7,85.14,breakout_retest,monitor,93.7,92.3555,95.0445,2026-08-28
AMD,2026-09-09,521.095,23.2193,482.2756,386.3269,8752645812.0,none,0,1,491.12,451.0,breakout_retest,monitor,491.12,485.3152,496.9248,2026-08-26
LYG,2026-09-09,5.92,0.1024,5.9601,5.544,71805253.0,none,1,2,6.09,5.8301,breakout_retest,monitor,5.5399,5.5143,5.5655,2026-05-29
NESR,2026-09-09,34.7,1.4889,31.3603,24.4589,60033745.0,uptrend,1,2,35.47,32.05,higher_low,primary,32.05,31.6778,32.4222,2026-08-21
THG,2026-09-09,223.9,4.4104,220.0715,198.004,59957501.0,none,2,2,230.155,217.0,breakout_retest,monitor,199.59,198.4874,200.6926,2026-05-18
BTSG,2026-09-09,61.99,2.4335,62.0685,52.8472,124496564.0,none,2,2,63.14,56.43,breakout_retest,monitor,45.59,44.9816,46.1984,2026-03-25
NBIS,2026-09-09,240.35,18.5298,216.2383,176.3462,5163709739.0,none,2,1,280.83,194.8,breakout_retest,monitor,230.3,225.6676,234.9324,2026-07-23
SSRM,2026-09-09,37.6,1.5985,32.9602,29.2407,91584472.0,uptrend,1,1,39.425,35.69,higher_low,primary,35.69,35.2904,36.0896,2026-09-01
NWG,2026-09-09,18.56,0.2918,18.2634,16.9347,47998103.0,none,2,2,18.9,18.16,breakout_retest,monitor,18.41,18.3371,18.4829,2026-07-22
AGRO,2026-09-09,12.46,0.5062,10.7706,10.4421,10833628.0,none,2,2,11.5452,10.61,breakout_retest,monitor,11.5452,11.4187,11.6717,2026-08-24
BAP,2026-09-09,375.51,10.1145,377.0431,343.2047,122485057.0,none,2,1,385.97,364.49,breakout_retest,monitor,354.41,351.8814,356.9386,2026-05-27
DK,2026-09-09,75.28,4.0589,64.3525,49.7867,123728342.0,none,2,1,77.4,56.34,breakout_retest,monitor,68.7799,67.7652,69.7946,2026-07-31
CFG,2026-09-09,69.37,1.476,70.3121,64.6632,205383360.0,none,3,2,75.33,67.67,breakout_retest,monitor,64.025,63.656,64.394,2026-05-26
AIR,2026-09-09,124.6,5.3015,133.729,117.8394,53124635.0,uptrend,2,2,154.0,131.265,higher_low,primary,131.265,129.9396,132.5904,2026-08-21
CNC,2026-09-09,64.06,2.2261,64.2885,53.6021,250130307.0,none,1,1,67.68,63.42,breakout_retest,monitor,60.76,60.2035,61.3165,2026-05-20
GRDN,2026-09-09,43.39,1.6843,39.5227,36.1401,15186601.0,none,2,1,47.02,35.9,breakout_retest,monitor,39.62,39.1989,40.0411,2026-04-27
TAL,2026-09-09,11.44,0.4318,11.3688,11.0116,63414317.0,none,2,2,12.53,11.17,breakout_retest,monitor,10.7,10.592,10.808,2026-07-15
IFS,2026-09-09,54.63,1.342,55.5849,50.7419,12992669.0,none,1,1,60.54,53.15,breakout_retest,monitor,50.845,50.5095,51.1805,2026-05-21
HASI,2026-09-09,38.4,1.157,39.5149,37.4777,43000418.0,uptrend,1,3,40.56,38.76,higher_low,primary,38.76,38.4707,39.0493,2026-08-24
DAVE,2026-09-09,361.875,22.575,356.7387,289.4878,133304998.0,none,2,1,438.23,302.165,breakout_retest,monitor,293.9,288.2562,299.5438,2026-06-01
GNK,2026-09-09,27.14,0.9099,25.7854,23.1246,19537666.0,uptrend,2,2,27.76,25.42,higher_low,primary,25.42,25.1925,25.6475,2026-08-28
TILE,2026-09-09,34.51,1.2714,35.6739,31.6321,19135019.0,uptrend,2,3,40.5,31.53,higher_low,primary,31.53,31.2121,31.8479,2026-07-21
FLYW,2026-09-09,17.76,0.7151,17.747,15.4475,26417115.0,uptrend,3,2,19.73,16.9,higher_low,primary,16.9,16.7212,17.0788,2026-09-02
XYZ,2026-09-09,79.4,2.8931,79.6377,73.3149,340868583.0,none,3,2,86.92,76.96,breakout_retest,monitor,77.6238,76.9005,78.3471,2026-06-01
SBLK,2026-09-09,31.16,0.9452,28.9843,25.1594,48414612.0,uptrend,2,3,31.25,29.42,higher_low,primary,29.42,29.1837,29.6563,2026-08-26
BCH,2026-09-09,42.1,0.9528,41.0715,39.0157,11818521.0,uptrend,2,3,43.14,40.9,higher_low,primary,40.9,40.6618,41.1382,2026-09-01
ASM,2026-09-09,7.36,0.396,6.8599,6.7513,33602704.0,uptrend,2,2,7.9,6.92,higher_low,primary,6.92,6.821,7.019,2026-09-01
LFST,2026-09-09,12.62,0.4556,11.4293,8.8066,50852735.0,uptrend,3,2,13.15,11.915,higher_low,primary,11.915,11.8011,12.0289,2026-08-25
BBVA,2026-09-09,29.08,0.4246,27.5014,24.1632,39613509.0,uptrend,3,3,29.32,28.59,higher_low,primary,28.59,28.4838,28.6962,2026-09-01
INCY,2026-09-09,126.01,3.5178,120.3631,106.9955,152617150.0,uptrend,2,3,130.8,121.61,higher_low,primary,121.61,120.7306,122.4894,2026-08-31
EXK,2026-09-09,11.15,0.5964,9.8318,9.5907,100429432.0,uptrend,3,3,11.48,10.13,higher_low,primary,10.13,9.9809,10.2791,2026-09-01
RSI,2026-09-09,26.72,1.1395,27.2856,24.9362,54711624.0,uptrend,2,2,27.23,25.16,higher_low,primary,25.16,24.8751,25.4449,2026-09-01
